地区,指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
河南,房地产投资累计值(亿元),7464.59,6631.26,5879.16,5194.01,4499.98,3871.3,3261.12,2516.6,1818.22,1196.96,537.26,,7015.47,6226.48,5472.9,4840.23,4212.27,3664.12,3131.32,2417.75,1781.92,1138.65,511.14,,7090.25,6315.64,5603.92,4868.25,4197.71,3560.02,2965.95,2180.86,1573.97,1005.97,451.76,
河南,房地产投资累计增长(%),6.4,6.5,7.4,7.3,6.8,5.7,4.1,4.1,2,5.1,5.1,,-1.1,-1.4,-2.3,-0.6,0.3,2.9,5.6,10.9,13.2,13.2,13.1,,14.7,15.5,17.4,18.3,19.1,20.2,22.9,24,24.7,25.2,24.4,
河南,房地产住宅投资累计值(亿元),6055.37,5380.75,4751.96,4200.36,3647.5,3142.77,2631.9,2035.37,1452.42,955.98,425.73,,5387.62,4768.44,4172.79,3707.18,3222.63,2780.67,2365.34,1826.22,1331.32,836.03,379.83,,5330.8,4746.56,4209.94,3646.87,3134.19,2639.13,2192.82,1602.08,1154.23,735.89,335.95,
河南,房地产住宅投资累计增长(%),12.4,12.8,13.9,13.3,13.2,13,11.3,11.5,9.1,14.3,12.1,,1.1,0.5,-0.9,1.7,2.8,5.4,7.9,14,15.3,13.6,13.1,,17,17.2,18.4,18.7,19.2,19.4,22.3,23.6,26.3,26.3,26.2,
青海,房地产投资累计值(亿元),406.29,394.85,340.25,288.92,250.23,211.8,159.41,77.05,39.88,11.23,0.73,,351.82,344.33,310.66,272.18,262.18,213.38,161.44,99.49,54.57,18.7,1.56,,408.59,407.49,359.87,302.61,251.69,196.2,142.61,82.04,47.87,14.94,3.07,
青海,房地产投资累计增长(%),15.5,14.7,9.5,6.1,-4.6,-0.7,-1.3,-22.6,-26.9,-39.9,-52.9,,-13.9,-15.5,-13.7,-10.1,4.2,8.8,13.2,21.3,14,25.2,-49.2,,2.9,3.9,2.7,2.8,0.6,-3.4,-5.9,-10.4,-5.3,3.6,17.4,
青海,房地产住宅投资累计值(亿元),294.08,286.15,246.04,207,178.81,151.57,113.18,52.06,26.32,6.75,0.58,,215.89,211.1,190.88,164.82,158.44,127.05,95.8,62.02,34,9.96,0.66,,213.66,215.01,188.81,159.2,133.88,105.17,79.07,45.53,26.47,7.41,2.08,
青海,房地产住宅投资累计增长(%),36.2,35.6,28.9,25.6,12.9,19.3,18.1,-16.1,-22.6,-32.3,-12.2,,1,-1.8,1.1,3.5,18.3,20.8,21.2,36.2,28.4,34.4,-68.3,,-6.2,-4.3,-7.2,-8.2,-7.8,-8.2,-6.1,-5.1,9.3,5,17.4,
河北,房地产投资累计值(亿元),4347.05,4112.55,3762.03,3400.12,2962.48,2545.56,2104.86,1369.99,953.89,591.67,177.61,,4476.4,4182.55,3844.95,3438.03,2905.76,2423.13,1963.99,1405.37,961.76,600.17,208.54,,4823.91,4580.23,4228.54,3757.59,3202.03,2702.71,2239.79,1657.59,1167.02,717.94,220.49,
河北,房地产投资累计增长(%),-2.9,-1.7,-2.2,-1.1,2,5.1,7.2,-2.5,-0.8,-1.4,-14.8,,-7.2,-8.7,-9.1,-8.5,-9.3,-10.3,-12.3,-15.2,-17.6,-16.4,-5.4,,2.7,3.2,4,5,5.3,5.9,6.2,8.4,8.9,4.8,6.8,
河北,房地产住宅投资累计值(亿元),3455.74,3264.14,2985.53,2697.45,2350.38,2018.07,1656.06,1087.47,756.78,467.9,136.89,,3471.11,3248.97,2984.91,2671.61,2255.2,1875.82,1522.58,1089.32,740.45,463.05,159.36,,3656.98,3475.45,3206.03,2848.51,2427.31,2047.74,1686.3,1248.05,864.65,516.42,152.91,
河北,房地产住宅投资累计增长(%),-0.4,0.5,0,1,4.2,7.6,8.8,-0.2,2.2,1,-14.1,,-5.1,-6.5,-6.9,-6.2,-7.1,-8.4,-9.7,-12.7,-14.4,-10.3,4.2,,5.2,6.1,6.8,8,8.8,10.1,9.7,10.6,9.1,1.2,-4,
新疆维吾尔族自治区,房地产投资累计值(亿元),1074.04,1027.8,896.09,702.06,539.08,400.79,253.59,154.36,78.73,31.67,12.46,,1033.44,983.74,851.46,650.01,520.77,380.48,243.49,122.48,70.15,29.01,13.28,,1037.86,1025.09,949.04,813.43,665.33,520.71,382.13,222.41,103.47,41.44,10.92,
新疆维吾尔族自治区,房地产投资累计增长(%),3.9,4.5,5.2,8,3.5,5.3,4.1,26,12.2,9.2,-6.1,,-0.4,-4,-10.3,-20.1,-21.7,-26.9,-36.3,-44.9,-32.2,-30,21.6,,12.4,13.9,15.4,12.4,11.2,10.7,14.6,1.3,0,17.4,-6.2,
新疆维吾尔族自治区,房地产住宅投资累计值(亿元),724.13,692.88,599.76,469.64,362.56,268.32,168.69,100.16,48.43,21.27,8.64,,642.48,612.01,520.91,389.19,311.05,222.52,147.42,77.61,44.26,17.29,7.65,,588.25,578.49,538.23,461.18,370.52,291.58,215.84,120.64,53.23,20.98,5.55,
新疆维吾尔族自治区,房地产住宅投资累计增长(%),12.7,13.2,15.1,20.7,16.6,20.6,14.4,29.1,9.4,23,12.9,,9.2,5.8,-3.2,-15.6,-16.1,-23.7,-31.7,-35.7,-16.8,-17.6,37.8,,13.4,14.4,16.2,12.3,9.4,9.6,11.7,-6.3,-13.1,14.7,-8.1,
宁夏回族自治区,房地产投资累计值(亿元),403.09,380.16,345.37,306.7,248.84,204.72,157.15,107.4,69.33,34.13,5.37,,449.57,430.18,387.03,342.39,291.3,245.14,198.21,127.81,86.85,37.66,5.76,,652.84,620.38,548.4,479.55,400.42,314.79,254.31,161.71,96.99,48.68,6.5,
宁夏回族自治区,房地产投资累计增长(%),-10.3,-11.6,-10.8,-10.4,-14.6,-16.5,-20.7,-16,-20.2,-9.4,-6.7,,-31.1,-30.7,-29.4,-28.6,-27.3,-22.1,-22.1,-21,-10.4,-22.6,-11.4,,-10.3,-7.1,-9.7,-10.1,-6.5,1,2.2,-1,-2.4,-1.1,69.8,
宁夏回族自治区,房地产住宅投资累计值(亿元),281.74,267.1,244.76,214.26,172.66,139.99,105.69,71.26,48.31,24.16,4.14,,300.41,285.89,260.85,229.28,195.77,162.69,131.81,85.71,58.59,22.73,1.94,,387.75,368.41,323.61,281.14,230.15,181.83,146.17,91.71,52.29,25.36,2.99,
宁夏回族自治区,房地产住宅投资累计增长(%),-6.2,-6.6,-6.2,-6.5,-11.8,-14,-19.8,-16.9,-17.5,6.3,114,,-22.5,-22.4,-19.4,-18.4,-14.9,-10.5,-9.8,-6.5,12,-10.4,-35.1,,-10.9,-8.8,-12,-14,-14,-6.1,-3.8,-4.7,-8.5,-12.8,46.1,
西藏自治区,房地产投资累计值(亿元),129.56,124.1,105.24,85.79,69.53,54.75,38.05,27.34,12.02,4.57,0.5,,92.6,91.75,75.1,60.87,53.38,40.65,27.66,9.99,5.69,3.42,0.11,,40.36,38.87,34.3,28.81,21.27,19.3,17.72,10.83,5.97,3.39,0.44,
西藏自治区,房地产投资累计增长(%),39.9,35.3,40.1,40.9,30.3,34.7,37.6,173.5,111,33.7,341.4,,129.4,136,118.9,111.3,151,110.6,56.1,-7.7,-4.6,0.8,-73.9,,-16.8,-15.7,-22.6,-28.1,-38,-20.8,1.6,5,2.5,61.3,236.2,
西藏自治区,房地产住宅投资累计值(亿元),96.87,92.92,78.16,63.32,51.64,41.57,29.29,20.8,8.7,3.64,0.22,,49.99,46.59,35.13,26.24,20.99,16.65,11.44,3.92,2.88,1.62,0.01,,20.1,19.53,17.7,16.85,12.02,10.92,9.62,6.26,3.13,1.95,0.24,
西藏自治区,房地产住宅投资累计增长(%),93.8,99.5,122.5,141.3,145.9,149.7,156,431.2,201.9,124.5,,,148.8,138.6,98.4,55.7,74.7,52.5,19,-37.5,-7.9,-16.6,-94.3,,-48.7,-47.5,-51.1,-48.7,-57.7,-46.4,-15.3,3.6,-24.8,25.9,,
浙江,房地产投资累计值(亿元),10682.97,9958.1,8984.13,8055.48,6960.02,6043.04,5166.87,3921.19,2965.27,2133.88,1205.26,,9944.93,9271.7,8325.59,7454.97,6462.62,5610.39,4795.03,3569.37,2664.73,1899.54,1010.54,,8226.78,7569.48,6798.75,6043.05,5197.42,4505.42,3861.39,2926.82,2210.81,1590.98,862.04,
浙江,房地产投资累计增长(%),7.4,7.4,7.9,8.1,7.7,7.7,7.8,9.9,11.3,12.3,19.3,,20.9,22.5,22.5,23.4,24.3,24.5,24.2,22,20.5,19.4,17.2,,10.1,11.2,10.7,11,10,10.3,10.2,10.3,9.6,9.2,9.2,
浙江,房地产住宅投资累计值(亿元),7727.11,7258.21,6536.59,5869.78,5074.69,4393.13,3765.29,2829.72,2129.06,1486.95,862.2,,7156.45,6706.61,6034.17,5409,4681.47,4032.13,3413.52,2500.68,1844.45,1307.3,657.96,,5645.98,5208.47,4692.81,4158.72,3568.56,3078.16,2611.66,1998.47,1511.66,1089.34,582.76,
浙江,房地产住宅投资累计增长(%),8,8.2,8.3,8.5,8.4,9,10.3,13.2,15.4,13.7,31,,26.8,28.8,28.6,30.1,31.2,31,30.7,25.1,22,20,12.9,,17.5,18,17.7,18.7,17.7,18.9,18.7,19.9,19.9,21.6,20,
广西壮族自治区,房地产投资累计值(亿元),3814.41,3323.41,2903.64,2574.82,2264.58,1957,1738.26,1271.92,958.23,657.44,284.6,,3004.13,2632.57,2303.63,2000.44,1761.73,1557.51,1367.68,997.56,750.44,512.89,233.88,,2683.48,2365.29,2038.68,1761.92,1564.81,1373.39,1217.67,882.68,676.53,464.05,215.59,
广西壮族自治区,房地产投资累计增长(%),27,26.2,26,28.7,28.5,25.6,27.1,27.5,27.7,28.2,21.7,,11.9,11.3,13,13.5,12.6,13.4,12.3,13,10.9,10.5,8.5,,11.9,16.8,20.3,21,23.5,24.4,29.3,31.9,33.1,31.9,26,
广西壮族自治区,房地产住宅投资累计值(亿元),2924.18,2569.74,2245.3,1982.86,1748.08,1514.17,1347.6,997.88,747.81,511.46,216.64,,2217.5,1951.15,1694.79,1464.63,1301.4,1151.19,1000.66,743.06,557.69,380.87,172.74,,1983.52,1744.54,1494.42,1293.69,1144.32,1000.64,885.82,649.17,502.12,335.25,157.11,
广西壮族自治区,房地产住宅投资累计增长(%),31.9,31.7,32.5,35.4,34.3,31.5,34.7,34.3,34.1,34.3,25.4,,11.8,11.8,13.4,13.2,13.7,15,13,14.5,11.1,13.6,10,,15,21.1,24.1,25.6,27.9,26.2,30.2,34.2,36.7,31.1,24.4,
内蒙古,房地产投资累计值(亿元),1041.95,1026.08,957.6,851.48,677.94,520.28,361,210.34,110.78,46.44,5.61,,882.85,875.14,827.04,744.38,605.64,483.99,341.22,185.27,93.35,39.61,8.19,,889.72,905.98,863.43,757.22,616.22,496.21,373.14,216.13,107.49,40.38,7.59,
内蒙古,房地产投资累计增长(%),18,17.2,15.8,14.4,11.9,7.5,5.8,13.5,18.7,17.2,-31.5,,-0.8,-3.4,-4.2,-1.7,-1.7,-2.5,-8.6,-14.3,-13.2,-1.9,7.9,,-21.5,-19.2,-15.9,-14.9,-13.1,-10.5,-8.3,7.9,10.6,9.7,3.7,
内蒙古,房地产住宅投资累计值(亿元),782.13,769.18,702.77,626.28,490.55,379.53,264.18,156.79,84,34.77,3.52,,641.99,637.17,601.15,538.56,437.35,347.51,244.6,138.16,71.78,29.48,5.06,,645.85,665.28,634.27,556.06,453,366.55,277.76,161.99,78.53,27.7,5.46,
内蒙古,房地产住宅投资累计增长(%),21.8,20.7,16.9,16.3,12.2,9.2,8,13.5,17,17.9,-30.4,,-0.6,-4.2,-5.2,-3.1,-3.5,-5.2,-11.9,-14.7,-8.6,6.4,-7.4,,-18.6,-15.2,-11.4,-9.4,-9.2,-6.5,-3.3,15.1,18.5,23.2,11.9,
辽宁,房地产投资累计值(亿元),2833.95,2763.92,2602.83,2372.82,2040.24,1769.68,1487.19,992.73,713.3,473.64,132.81,,2599.27,2502.16,2365.28,2169.2,1883.46,1616.73,1364.53,971.56,651.76,388.47,119.84,,2289.67,2261.15,2152.56,1955.7,1681.09,1418.83,1181.81,837.19,600.61,393.43,143.47,
辽宁,房地产投资累计增长(%),9,10.5,10,9.4,8.3,9.5,9,2.2,9.4,21.9,10.8,,13.5,10.7,9.9,10.9,12,13.9,15.5,16.1,8.5,-1.3,-16.5,,9.3,8.8,5.2,-0.6,-8,-14.3,-17.9,-21.2,-16.8,-10.5,-1.7,
辽宁,房地产住宅投资累计值(亿元),2188.35,2138.24,2013.38,1829.33,1563.39,1355.59,1150.15,773.67,548.78,358.73,103.26,,1944.46,1872.16,1770.28,1614.81,1400.06,1188.94,990.82,708.63,463.96,268.29,86.13,,1673.91,1645.63,1562.42,1420.27,1228.32,1033.03,856.92,603.91,430.78,285.39,102.95,
辽宁,房地产住宅投资累计增长(%),12.5,14.2,13.7,13.3,11.7,14,16.1,9.2,18.3,33.7,19.9,,16.2,13.8,13.3,13.7,14,15.1,15.6,17.3,7.7,-6,-16.3,,11.2,10.3,6.2,0,-7.2,-13.6,-17.7,-21.6,-18.3,-11.8,-6.5,
天津,房地产投资累计值(亿元),2727.82,2569.69,2423.81,2261.83,1970.46,1772.75,1549.36,1198.52,866.09,587.09,220.45,,2424.49,2231.18,2087.52,1893.4,1651.63,1489.22,1301.37,980.75,694.84,460.72,173.1,,2233.39,2121.29,2013.76,1899.12,1660.29,1424.55,1192.85,822.64,593.31,421.9,185.95,
天津,房地产投资累计增长(%),12.5,15.2,16.1,19.5,19.3,19,19.1,22.2,24.6,27.4,27.4,,8.6,5.2,3.7,-0.3,-0.5,4.5,9.1,19.2,17.1,9.2,-6.9,,-2.9,-2.9,0.3,4.2,2.9,0.8,-0.8,-4.4,-3.7,6,35.7,
天津,房地产住宅投资累计值(亿元),2200.01,2057.56,1946.38,1826.36,1589.04,1431.13,1258.05,986.22,690.11,478.64,171.94,,1863.5,1719.79,1595.67,1432.19,1240.1,1096.52,928.02,694.99,497.09,319.87,124.22,,1559.7,1486.2,1406.07,1323.46,1161.7,957.33,794.46,546.57,389.72,268.46,122.98,
天津,房地产住宅投资累计增长(%),18.1,19.6,22,27.5,28.1,30.5,35.6,41.9,38.8,49.6,38.4,,19.5,15.7,13.5,8.2,6.7,14.5,16.8,27.2,27.5,19.1,1,,-2.4,-1.9,1.1,5.9,5.4,-0.2,-1.7,-6.3,-4.6,3.8,23,
福建,房地产投资累计值(亿元),5673.13,5252.96,4773.63,4303.23,3730.74,3290.83,2826.9,2260.03,1796.77,1306.38,648.82,,4940.34,4522.27,4112.24,3685.11,3186.28,2804.84,2404.92,1898.48,1502.59,1109.32,550.79,,4794.23,4385.97,3989.1,3539.09,3098.12,2714.79,2365.93,1797.84,1423.98,1076.52,548.97,
福建,房地产投资累计增长(%),14.8,16.2,16.1,16.8,17.1,17.3,17.5,19,19.6,17.8,17.8,,3,3.1,3.1,4.1,2.8,3.3,1.6,5.6,5.5,3,0.3,,4.5,4.2,4.9,2.4,1.7,2.2,2.2,-0.9,0.4,-1.7,-7.9,
福建,房地产住宅投资累计值(亿元),4076.31,3787.25,3447.37,3112.51,2688.41,2362.13,2016.74,1583.76,1241.31,892.9,456.85,,3456.86,3153.12,2867.59,2576.23,2228.65,1957.43,1652.49,1288.26,1020.41,746.84,368.71,,3236.51,2957.02,2683.36,2390.76,2089.25,1806.35,1557.69,1136.81,916.77,697.89,356.79,
福建,房地产住宅投资累计增长(%),17.9,20.1,20.2,20.8,20.6,20.7,22,22.9,21.6,19.6,23.9,,6.8,6.6,6.9,7.8,6.7,8.4,6.1,13.3,11.3,7,3.3,,7.9,7.6,8.9,7.1,6.9,6.4,4,-2.2,1.6,-1.5,-6.8,
吉林,房地产投资累计值(亿元),1315.52,1263.37,1164.14,1014.42,830.4,633.5,477.49,319.06,118.86,45.9,11.88,,1175.88,1129.86,1007.45,869.32,696.86,532.86,375.96,253.72,98.33,35.78,10.44,,910.14,868.3,787.66,676.66,549.78,433.8,321.28,193.65,87.3,33.05,10.12,
吉林,房地产投资累计增长(%),11.9,11.8,15.6,16.7,19.2,18.9,27,25.8,20.9,28.3,13.8,,29.2,30.1,27.9,28.5,26.8,22.8,17,31,12.6,8.2,3.1,,-10.5,-10.4,-11.3,-10,-3.9,2.3,8,4.9,2,11.2,8.2,
吉林,房地产住宅投资累计值(亿元),970.99,931.02,860.63,737.25,605.23,466.58,358.53,241.68,91.21,35.14,9.16,,841.02,804.89,732.3,639.25,513.82,390.53,274.89,183.79,70.27,25.86,8.19,,633.55,608.12,553.04,474.52,388.42,305.51,225.63,134.57,59.7,23.35,7.33,
吉林,房地产住宅投资累计增长(%),15.5,15.7,17.5,15.3,17.8,19.5,30.4,31.5,29.8,35.9,11.9,,32.7,32.4,32.4,34.7,32.3,27.8,21.8,36.6,17.7,10.8,11.8,,-10.9,-9.9,-11.1,-9.5,-0.7,5.3,11.2,7.5,5.1,12.8,7.9,
四川,房地产投资累计值(亿元),6573.24,6011.53,5474.79,4872.45,4215.66,3615.8,3101.11,2392.65,1840.71,1308.31,736.71,,5697.87,5178.32,4657.49,4158.62,3563.38,3076.77,2646.54,2065.46,1571.11,1125.61,652.61,,5149.89,4779.9,4371.46,3977.28,3517.77,3094.62,2691.98,2137.94,1629.36,1179.46,662.38,
四川,房地产投资累计增长(%),15.4,16.1,17.5,17.2,18.3,17.5,17.2,15.8,17.2,16.2,12.9,,10.6,8.3,6.5,4.6,1.3,-0.6,-1.7,-3.4,-3.6,-4.6,-1.5,,-2.5,-2.8,-2.7,-1.7,0.4,2,2.6,2.4,4.2,0.9,9.6,
四川,房地产住宅投资累计值(亿元),4665.31,4268.16,3878.88,3444.56,2976.54,2549.75,2175.51,1680.81,1280.73,906.55,506.13,,3764.71,3413.73,3053.69,2719.57,2319.46,1992.43,1697.94,1322.79,1006.12,712.34,412.21,,3182.34,2943,2685.81,2438.53,2155.4,1894.56,1637.91,1306.14,999.81,728.41,416.22,
四川,房地产住宅投资累计增长(%),23.9,25,27,26.7,28.3,28,28.1,27.1,27.3,27.3,22.8,,18.3,16,13.7,11.5,7.6,5.2,3.7,1.3,0.6,-2.2,-1,,-0.1,-0.4,-0.2,0.8,3.4,4.8,5.6,4.9,7.3,4.4,13.1,
云南,房地产投资累计值(亿元),4151.41,3658.06,3200.21,2843.93,2407.85,2043.45,1729.11,1313.43,993.7,740.48,337.58,,3247.23,2915.67,2576.96,2192.86,1832.35,1598.34,1342.21,989.21,779.86,571.71,265.39,,2786.25,2552.29,2234.3,1935.99,1644.1,1430.24,1224.33,911.42,705.44,502.78,242.92,
云南,房地产投资累计增长(%),27.8,25.5,24.2,29.7,31.4,27.8,28.8,32.8,27.4,29.5,27.2,,16.5,14.2,15.3,13.3,11.5,11.8,9.6,8.5,10.5,13.7,9.3,,3.6,4.7,5,0.9,-1.6,-3.4,-2.5,2.1,1.4,3.6,1,
云南,房地产住宅投资累计值(亿元),3028.96,2685.96,2352.36,2091.52,1769.01,1479.28,1254.05,957.4,722.26,541.51,246.9,,2115.17,1885.88,1645.41,1388.54,1164.28,1014.23,836.21,618.25,482.68,350.1,167.77,,1743.91,1577.17,1371.48,1188.29,994.11,867.7,737.63,541.33,414.34,292.29,139.12,
云南,房地产住宅投资累计增长(%),43.2,42.4,43,50.6,51.9,45.9,50,54.9,49.6,54.7,47.2,,21.3,19.6,20,16.9,17.1,16.9,13.4,14.2,16.5,19.8,20.6,,6.6,6.5,5.5,1.3,-3.1,-5.2,-7.5,-4.9,-5.2,-4.9,-9.4,
安徽,房地产投资累计值(亿元),6670.48,6160.13,5722.98,5278.95,4671.79,4022.94,3387.07,2640.37,1945.61,1315.92,706.07,,5974.11,5538.02,5161.66,4748.56,4208.32,3623.83,3067.76,2405.6,1782.42,1222.83,650.86,,5612.47,5075.51,4594.42,4085.37,3495.25,2955.72,2503.8,1966.51,1464.29,997.49,535.17,
